Mat,Prova_1,Media_1,Prova_2,Media_2
508201,3.17,4.24,3.8,5.5
496554,0.97,4.85,10.0,10.0
514933,0.83,3.23,0.0,0.1
514690,4.44,4.54,6.4,7.7
497049,0.0,0.0,0.0,0.0
511384,1.94,2.19,0.0,0.3
403892,2.61,3.83,1.3,4.2
403940,1.95,4.21,2.5,2.0
539449,0.0,2.34,0.0,0.0
511236,4.83,6.13,10.0,9.1
516382,4.79,7.29,8.8,9.5
499205,2.22,2.14,0.0,0.0
515106,0.0,0.98,0.0,0.6
511916,4.03,5.42,6.4,7.7
407255,0.0,0.0,0.0,0.0
427584,1.67,3.36,2.9,3.1
475812,0.0,0.41,0.0,0.0
519334,3.33,6.51,10.0,10.0
476651,6.01,6.61,10.0,10.0
514194,3.89,3.88,0.0,0.0
474045,2.34,4.12,8.8,8.8
512144,1.56,3.08,0.0,0.0
475754,0.0,1.85,0.0,0.0
538435,0.0,3.1,2.1,3.6
508257,4.17,3.86,10.0,9.1
510109,0.42,3.79,7.9,10.0
402584,5.06,3.63,5.7,5.8
511097,0.0,1.13,0.0,0.5
500618,0.0,0.0,0.0,0.0
508370,0.56,4.29,5.0,4.1
475364,0.0,0.38,0.0,0.0
511354,5.17,6.16,8.8,10.0
496322,0.42,2.24,0.0,0.0
470934,0.42,0.71,0.0,0.0
516205,9.01,8.88,8.8,10.0
411631,1.11,2.11,0.0,0.0
496688,6.11,6.35,0.0,1.9
403266,4.34,2.99,0.0,0.1
510585,1.61,3.17,0.0,0.0
537800,7.13,8.38,10.0,10.0
501024,0.0,1.7,0.0,0.0
474156,0.0,0.74,0.0,0.0
512072,0.83,3.24,3.8,3.1
509906,3.17,6.32,10.0,10.0
511272,0.0,3.87,2.9,2.5
